,precision,recall,f1-score,support
B-designated_use,0.46153846153846156,0.3333333333333333,0.3870967741935484,36.0
I-designated_use,0.5666666666666667,0.43870967741935485,0.4945454545454545,1085.0
B-end_date,0.5,0.23076923076923078,0.3157894736842105,13.0
I-end_date,0.6521739130434783,0.30612244897959184,0.4166666666666667,49.0
B-expiration_date_of_lease,0.0,0.0,0.0,7.0
I-expiration_date_of_lease,0.0,0.0,0.0,36.0
B-extension_period,0.1,0.06666666666666667,0.08,15.0
I-extension_period,0.06349206349206349,0.07393715341959335,0.06831767719897525,541.0
B-leased_space,0.6086956521739131,0.28,0.3835616438356165,50.0
I-leased_space,0.6078431372549019,0.34621993127147765,0.44116037219485493,1164.0
B-lessee,0.4772727272727273,0.27631578947368424,0.35000000000000003,76.0
I-lessee,0.5290178571428571,0.3910891089108911,0.4497153700189753,606.0
B-lessor,0.5348837209302325,0.25555555555555554,0.3458646616541353,90.0
I-lessor,0.5883905013192612,0.3005390835579515,0.39785905441570024,742.0
B-notice_period,0.625,0.16666666666666666,0.2631578947368421,30.0
I-notice_period,0.6274900398406374,0.37906137184115524,0.4726181545386347,831.0
B-signing_date,0.4,0.1111111111111111,0.1739130434782609,18.0
I-signing_date,0.375,0.1111111111111111,0.17142857142857143,54.0
B-start_date,0.3333333333333333,0.14285714285714285,0.2,21.0
I-start_date,0.5227272727272727,0.10267857142857142,0.17164179104477612,224.0
B-term_of_payment,0.4883720930232558,0.3333333333333333,0.39622641509433965,126.0
I-term_of_payment,0.5577130528586839,0.48666457483526826,0.5197721179624664,3187.0
B-vat,0.6296296296296297,0.3541666666666667,0.45333333333333337,48.0
I-vat,0.5231388329979879,0.3472840605520926,0.41744715012041744,2246.0
macro avg,0.4488491231352234,0.24309135790668543,0.3070881508394075,11295.0
weighted avg,0.5330849962363972,0.37290836653386455,0.43318414628965224,11295.0
